                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.52245,                0.39887,                0.95178,                0.75914,                 0.8244,                0.82884,                0.60926,                 1.0269,                0.92279,                 1.4326,             0.00036797,             0.00036797,             0.00036797
                     77,                0.52278,                 0.3776,                0.93465,                 0.7209,                0.76066,                 0.8285,                0.61812,                 1.0167,                0.94396,                 1.3904,             0.00035382,             0.00035382,             0.00035382
                     78,                 0.5108,                0.38321,                0.92656,                0.75975,                0.71287,                0.79062,                0.58915,                  1.004,                 1.0879,                 1.3466,             0.00033967,             0.00033967,             0.00033967
                     79,                 0.5267,                0.39013,                0.95145,                0.72058,                0.85026,                0.81813,                0.58961,                 1.0985,                0.97087,                 1.4067,             0.00032553,             0.00032553,             0.00032553
                     80,                0.51104,                0.38631,                0.93103,                0.73113,                 0.7782,                0.84136,                 0.6391,                 0.9651,                 0.8177,                 1.3098,             0.00031138,             0.00031138,             0.00031138
                     81,                0.51753,                   0.41,                 0.9398,                0.64982,                0.96296,                0.85682,                0.68526,                0.84463,                0.70876,                  1.232,             0.00029723,             0.00029723,             0.00029723
                     82,                0.48736,                0.37209,                0.92971,                0.71512,                0.89309,                0.83556,                0.62437,                0.99371,                 0.8024,                 1.3485,             0.00028308,             0.00028308,             0.00028308
                     83,                0.48928,                0.35844,                0.92978,                0.71541,                 0.8097,                0.77126,                0.56497,                0.95697,                0.98523,                 1.3304,             0.00026894,             0.00026894,             0.00026894
                     84,                 0.4767,                0.36942,                0.92496,                0.75363,                0.76071,                 0.7508,                0.52899,                 1.0365,                 1.1237,                 1.4209,             0.00025479,             0.00025479,             0.00025479
                     85,                0.50548,                0.38567,                0.94218,                0.75348,                0.74269,                0.76445,                0.51984,                 1.0864,                 1.1613,                 1.4667,             0.00024064,             0.00024064,             0.00024064
                     86,                0.47024,                0.35574,                0.92155,                0.70528,                0.86314,                0.81658,                0.55611,                 1.1072,                0.98648,                  1.463,              0.0002265,              0.0002265,              0.0002265
                     87,                  0.481,                0.36108,                0.92579,                0.73127,                 0.8485,                0.83711,                0.57581,                 1.1146,                0.92371,                 1.4305,             0.00021235,             0.00021235,             0.00021235
                     88,                0.49922,                0.38436,                0.94451,                 0.6969,                0.94428,                0.83431,                0.58688,                 1.1035,                0.87677,                  1.414,              0.0001982,              0.0001982,              0.0001982
                     89,                0.44336,                0.35309,                0.90715,                0.74633,                0.86085,                 0.8515,                0.57963,                 1.1476,                0.89151,                 1.4622,             0.00018406,             0.00018406,             0.00018406
                     90,                 0.4702,                0.35334,                0.91964,                0.75564,                0.88553,                0.88071,                0.61301,                 1.0546,                0.86573,                  1.404,             0.00016991,             0.00016991,             0.00016991
                     91,                0.46758,                0.33492,                0.93024,                0.82183,                 0.8485,                0.87658,                0.62074,                 1.0391,                0.75321,                 1.3903,             0.00015576,             0.00015576,             0.00015576
                     92,                0.48446,                0.35837,                0.94023,                0.74382,                0.93091,                0.85504,                0.60949,                  1.034,                0.70579,                 1.3877,             0.00014161,             0.00014161,             0.00014161
                     93,                0.45481,                0.35574,                0.92606,                0.83616,                0.81111,                0.84691,                0.61235,                 1.0164,                0.72083,                 1.3554,             0.00012747,             0.00012747,             0.00012747
                     94,                0.48828,                0.36062,                0.94553,                 0.7419,                0.91658,                0.83716,                0.58951,                 1.0493,                0.74151,                 1.3884,             0.00011332,             0.00011332,             0.00011332
                     95,                0.45998,                0.33926,                0.92392,                0.74756,                0.89292,                0.83418,                0.58429,                 1.0768,                0.75279,                 1.4173,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.43913,                0.33952,                0.89952,                0.72663,                0.91023,                0.84411,                0.60666,                 1.0594,                 0.7352,                 1.4012,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.4563,                0.34049,                0.92513,                0.83309,                0.81675,                0.84694,                0.61771,                 1.0359,                0.74486,                 1.3838,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.43064,                 0.3124,                0.91737,                0.82935,                0.81675,                0.85034,                0.62195,                 1.0163,                0.75054,                  1.374,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.44767,                 0.3376,                0.92983,                0.84052,                0.82013,                0.85848,                0.62874,                 1.0209,                0.74122,                 1.3804,             4.2584e-05,             4.2584e-05,             4.2584e-05
